Kategori: Alışveriş

Hafta,Luxury Goods: (Dünya Genelinde)
2023-12-31,73
2024-01-07,64
2024-01-14,63
2024-01-21,66
2024-01-28,60
2024-02-04,73
2024-02-11,85
2024-02-18,63
2024-02-25,74
2024-03-03,77
2024-03-10,58
2024-03-17,76
2024-03-24,73
2024-03-31,69
2024-04-07,59
2024-04-14,63
2024-04-21,64
2024-04-28,54
2024-05-05,61
2024-05-12,62
2024-05-19,70
2024-05-26,71
2024-06-02,61
2024-06-09,57
2024-06-16,72
2024-06-23,66
2024-06-30,57
2024-07-07,70
2024-07-14,81
2024-07-21,69
2024-07-28,57
2024-08-04,69
2024-08-11,60
2024-08-18,72
2024-08-25,54
2024-09-01,58
2024-09-08,65
2024-09-15,60
2024-09-22,72
2024-09-29,62
2024-10-06,81
2024-10-13,72
2024-10-20,89
2024-10-27,54
2024-11-03,72
2024-11-10,80
2024-11-17,97
2024-11-24,94
2024-12-01,96
2024-12-08,100
2024-12-15,92
2024-12-22,74
2024-12-29,70
